Title,Description,Due Date,Priority,Status
Prepare monthly report,Collect data and compile dashboard,2025-09-03,High,Pending
Vendor follow-up,Email and confirm PO timelines,2025-09-01,Medium,In-Progress
Team standup,Daily sync notes,,Low,Pending
Close audit items,Resolve open NCR points,2025-08-31,High,Pending
Release v1.2,Tag release and publish notes,2025-09-10,Medium,In-Progress
Book flights,Trip to Pune for client visit,2025-09-05,Low,Pending
Submit tax proofs,Upload rent/ELSS receipts,2025-09-15,High,Pending
Review candidate profiles,Shortlist 3 for interview this week,,Medium,Pending
Backup server,Full backup + verify restore,2025-08-30,High,Done
Update SOP,Revise onboarding SOP and circulate,2025-09-07,Medium,Done
